,z,M_i,ps_mag_u,ps_mag_g,ps_mag_r,ps_mag_i,ps_mag_z,ps_mag_y
9746,4.383914947509766,-25.22004130504145,28.05992913439409,24.310614272672474,22.452073779061237,21.89107874579574,21.620127297593896,21.55281382244491
9747,1.55494225025177,-21.89533266512248,24.130051273077385,23.725757698593572,23.27158317402687,22.885127120211,22.79727392095181,22.79069463292842
9748,0.9737551212310791,-23.991119632931515,19.488128340686227,19.40716808411404,19.26548951101868,19.36862574600008,19.30486103653733,19.21360687061618
9749,0.7144471406936646,-13.607369922943368,30.12891304728356,29.49845094294805,29.306135234063643,29.27172969487838,29.016285877586622,29.237519295279284
9750,0.47463682293891907,-14.772068475844623,27.261749283953698,27.030690712774213,27.083570852955628,26.936612821290932,27.050042425848652,26.217608006967254
9751,1.9957219362258911,-15.916847878355021,29.41566685910666,29.463627301619614,29.377629957392188,29.087148428364557,28.87132355349633,28.888139916908173
9752,0.938366174697876,-16.9616353290003,27.38279050428161,26.91896900949954,26.586743879341203,26.56057363004203,26.4566785465031,26.22179411425983
9753,1.7302641868591309,-21.570621909557353,23.756799618446127,23.48310216420064,23.341705360205765,23.04929805498619,23.043174122865786,23.029632944014807
9754,2.136570930480957,-19.770755124520104,27.299759431673223,26.988256027804667,26.582301292700418,26.145502176072227,25.762743609117578,25.702551569487333
9755,2.9094371795654297,-24.89876208742601,22.835159460805983,21.834201931721974,21.445149908439348,21.21359231200482,21.169813580354234,20.95828161081958
9756,1.0132722854614258,-22.70745085613894,20.898029323058335,20.828038269763535,20.628961469361297,20.719459463117154,20.703076713558435,20.596290227267776
9757,2.3907105922698975,-22.504104729417897,24.156018380879367,23.43013641735696,23.26080320864705,23.14219477943397,22.925474507616972,22.708205079586
9758,0.6289990544319153,-16.697622576619867,26.071669892518273,25.731180061971088,25.757463578666233,25.611880773293226,25.7380587124548,25.658488694847538
9759,1.6544239521026611,-22.055954068962727,23.184194327355264,22.86097033560193,22.706210203519795,22.45545952344657,22.43678670299154,22.469238327943494
9760,1.2649301290512085,-17.548925431895608,28.011820580356076,27.667590693206158,27.014319227163732,26.794196347873623,26.743119598304375,26.66638023206713
9761,3.2499020099639893,-22.324251966504235,28.54406162488316,26.492904968310917,25.636035866017792,25.215336905346415,24.994782858167437,24.72284547892699
9762,1.477023959159851,-13.856857336779932,32.89799098805976,32.54614873536294,31.669964045835435,31.177538632702834,30.975585318719414,30.928575615439136
9763,1.4888675212860107,-19.23550522586856,25.78518334034531,25.699420864006782,25.356605016054942,25.127579720108365,25.114296609912284,25.16145184461576
9764,1.8139172792434692,-20.103407769655817,26.055760643763982,25.72677860034444,25.445929126252405,24.98603397091194,24.895686999870957,24.81235497800171
9765,1.2981432676315308,-19.880622141918984,25.527793439983107,25.226701220286966,24.638595022046427,24.452245867121807,24.403129494107784,24.349195884452367
9766,1.4477643966674805,-22.4075280192856,24.370272065621943,23.831274860232195,23.02607177711232,22.613558625181327,22.436294379119836,22.36666153780209
9767,1.15110182762146,-16.371255065380257,28.05165437841667,27.815485563163637,27.435887825729196,27.379262761638596,27.476534602104955,27.3541899829762
9768,2.2372286319732666,-24.352731926625566,21.348161600935995,21.080933723476008,20.90984901917213,20.82817274049436,20.62782986362222,20.643604291655596
9769,2.040973663330078,-20.122969378763777,25.02653428067751,25.097093906415953,25.011769255216375,24.83032140381275,24.635987921359632,24.693690658412056
9770,3.0479626655578613,-24.077294441510034,23.84432619441256,22.69641997263913,22.275572894706176,22.080664475195025,22.063699034763765,21.864564242571557
9771,1.4144757986068726,-25.118420928733656,19.711122266135295,19.53739417006529,19.22167423266099,19.130568514503505,19.132639840422854,19.159195783659168
9772,1.6889911890029907,-19.31851865601088,25.662418123994712,25.432015880216582,25.35407647363669,25.108549994237684,25.119922630196065,25.141421367294893
9773,1.4511915445327759,-17.739790544124787,28.45629529569214,28.139948392577807,27.40932042536808,27.051945276639472,26.902380681578634,26.887660449958243
9774,0.5979933142662048,-17.960728439709477,24.738842974780926,24.40725469494791,24.417347262103647,24.24980355278274,24.403657029946505,24.167014745437722
9775,0.8477864265441895,-20.87833385602007,22.386871770963182,22.1688717125831,22.111184015763577,22.184108002374842,22.038168654912248,22.158957648465712
9776,1.1321476697921753,-22.385961418845667,21.61997029273285,21.461274256568817,21.235837128693724,21.261131287273596,21.339379449560504,21.219609317398927
9777,1.714040756225586,-22.935218137351804,22.026700478848756,21.79827298550076,21.73264343682873,21.516071664193362,21.543179971016897,21.56350302095588
9778,2.01774263381958,-18.107558610153557,27.585113650487507,27.54786172169938,27.37644552929642,27.069119030324654,26.819315117979034,26.826183888219436
9779,2.1701366901397705,-25.643617882316576,21.793092397208593,21.317362357945143,20.76990859847045,20.373051803032315,20.00571654052143,19.91669118614443
9780,2.6052300930023193,-21.58837530060015,25.212646151541335,24.523346875234786,24.25350245832467,24.22493434224481,24.01667334092127,23.853490457671455
9781,2.0916502475738525,-22.848590169774923,23.432767243907733,23.258843181336022,22.942639437684115,22.643451346446117,22.359302886875135,22.360177921963924
9782,2.105360746383667,-16.268764313989063,34.07628038393511,33.17233131561066,32.21708513672019,31.20057202218581,30.494514625212712,30.21564972774368
9783,2.2927801609039307,-22.98089415796898,23.459914624571525,22.892037693187252,22.695896047520662,22.549075912697006,22.309551363838157,22.21971370175485
9784,1.779740810394287,-22.644483384902596,23.691245094853233,23.258041438612192,22.915120826284845,22.46653992107846,22.365944104805195,22.28729124775173
9785,0.9809186458587646,-23.8218127240757,19.972874735340344,19.804975310359808,19.5805541799279,19.641581432525133,19.559854297912107,19.453337162949133
9786,2.1420528888702393,-15.156401706758015,30.496601051449595,30.5161060439929,30.438208528264873,30.16635664317205,29.877925325974573,29.90938792420056
9787,2.208354949951172,-22.453283503372727,23.071456035957613,22.93001071129656,22.801143485870714,22.703279659019085,22.495940963543738,22.532949959914077
9788,1.249054193496704,-23.875209895567522,20.797852948700836,20.57006060402456,20.218308351244563,20.142923368419563,20.174342503575097,20.096529895634383
9789,1.6609487533569336,-25.340873493472188,19.987097121130013,19.628173092616052,19.46366035604533,19.229564501472584,19.21370032419873,19.24853128460216
9790,0.8838925361633301,-18.29760638491631,26.853596171110457,26.039167936479075,25.53445507631641,25.37409209243307,25.116414546896827,25.00842330686134
