,zl,m_h,m_acc,e_h,p_h,con,m_g,e_g,p_g,tb,vel_disp
247100,1.029,860993800000.0,0.0,0.2449539,169.0193,8.968429,28106430000.0,0.4208122,229.4334,0.04135142,167.87705554319555
247200,1.041,576766500000.0,0.0,0.1973084,74.37075,6.795831,12616650000.0,0.3268969,38.61667,0.05705337,100.07600381768248
247300,1.053,157398300000.0,0.0,0.1969673,20.6432,8.606243,919632600.0,0.3539274,54.52819,0.05773348,42.84320859464253
247400,1.065,107894700000.0,0.0,0.221497,-174.7639,5.502284,411827900.0,0.1608248,-122.7285,0.05067558,29.47640880506555
247500,1.077,164059000000.0,0.0,0.2484311,-153.7715,5.662817,1180064000.0,0.333981,-186.7628,0.06923161,39.32075279588368
247600,1.089,115345300000.0,0.0,0.1452041,113.3676,4.631985,500306100.0,0.08894514,123.3502,0.07970593,30.770971443594725
247700,1.1,213796200000.0,0.0,0.1913169,144.5178,4.720496,1740892000.0,0.2943024,122.3818,0.108952,42.568730225349256
247800,1.111,494310700000.0,0.0,0.1444329,-47.74346,7.947261,7776244000.0,0.3469065,-28.19698,0.1585155,77.20121983664392
247900,1.122,7046931000000.0,0.0,0.1851267,73.1596,3.549306,89755880000.0,0.3229834,55.27744,0.1929076,152.3096901213063
248000,1.134,116681000000.0,0.0,0.1489076,-178.9799,5.106505,692151400.0,0.3081051,-184.9853,0.06680309,33.19383154745174
248100,1.145,156314800000.0,0.0,0.0656,10.23523,5.403722,825473200.0,0.3705011,-8.221576,0.0904747,38.01233651493409
248200,1.156,583445100000.0,0.0,0.3630408,-127.1158,4.809507,12311590000.0,0.2488728,-136.9265,0.1649732,74.20094788892338
248300,1.167,257632100000.0,0.0,0.2250397,-135.4255,6.392448,2374277000.0,0.08872615,-112.6194,0.1188052,52.97310860891778
248400,1.178,267300600000.0,0.0,0.3564616,65.08387,4.96322,2441398000.0,0.2400071,66.6091,0.100142,47.93220422049247
248500,1.189,714496300000.0,0.0,0.1709333,168.2641,4.557096,16746930000.0,0.3815502,197.6618,0.08076984,96.6652927337301
248600,1.2,2280342000000.0,0.0,0.3607066,-37.02676,4.985759,67558100000.0,0.6573719,-44.33619,0.1703458,141.33885033099423
248700,1.212,122743900000.0,0.0,0.3337271,-53.78282,8.889381,459766800.0,0.3690693,-78.44318,0.05095296,39.05268858363475
248800,1.223,199986200000.0,0.0,0.2510287,63.21295,4.49206,1236066000.0,0.301448,70.37953,0.08995306,39.497809142883
248900,1.234,1023293000000.0,0.0,0.4188531,51.66389,3.6961,35366100000.0,0.5356496,83.75838,0.07551386,137.58164561101515
249000,1.245,206063000000.0,0.0,0.1818137,48.86541,3.659791,1127375000.0,0.4305177,55.27267,0.1813252,42.12983372007292
249100,1.256,304789500000.0,0.0,0.2255296,-156.3226,5.193523,4138891000.0,0.3204222,-131.5992,0.09986688,56.28836444224677
249200,1.267,234422900000.0,0.0,0.3112792,-110.7588,7.021939,1087960000.0,0.446662,-90.95713,0.03747955,44.659308754888485
249300,1.278,216770400000.0,0.0,0.2870517,35.01777,4.515162,1557152000.0,0.3143296,77.69572,0.09560589,42.40133344133106
249400,1.289,161808000000.0,0.0,0.287783,-108.3809,6.18599,653839700.0,0.2723324,-92.59606,0.1020261,42.78764717174059
249500,1.299,239883300000.0,0.0,0.01147809,37.94033,5.158167,1986244000.0,0.1919509,79.03503,0.0561966,47.35934949997246
249600,1.31,154881700000.0,0.0,0.1575794,5.659825,4.669255,897481200.0,0.127492,-3.829107,0.07917319,37.00637798440972
249700,1.32,485288500000.0,0.0,0.2645007,-99.3228,4.237584,6340251000.0,0.441602,-68.13962,0.0433384,78.8815196999185
249800,1.331,216770400000.0,0.0,0.1732695,135.9364,5.627976,1065914000.0,0.4381273,136.5511,0.06721793,42.03247920522215
249900,1.341,1303167000000.0,0.0,0.2018028,-15.04284,5.270084,32712000000.0,0.2482122,17.09239,0.05603171,153.50247174723404
250000,1.352,626613900000.0,0.0,0.3462844,-27.56965,5.922487,13209710000.0,0.4323888,-75.27828,0.1444097,83.69305197550474
250100,1.363,180717400000.0,0.0,0.3895699,144.2047,4.719746,948390600.0,0.4028826,162.8096,0.1237744,42.518095715659605
250200,1.373,431519100000.0,0.0,0.1917213,135.0641,11.31248,5954208000.0,0.4594831,98.9024,0.06177602,84.00576605519102
250300,1.383,696626500000.0,0.0,0.2988486,-52.66009,3.348205,15295230000.0,0.3031744,-98.78199,0.1086022,82.76011077218728
250400,1.394,129717900000.0,0.0,0.09604218,-136.9748,3.999401,374879200.0,0.4267656,-114.7614,0.05368537,28.739634299693364
250500,1.404,774461800000.0,0.0,0.09026832,-104.6842,4.187086,23031730000.0,0.4742299,-97.97043,0.105901,100.97096591699176
250600,1.415,122180000000.0,0.0,0.04249769,-91.86511,7.795198,325314500.0,0.371656,-83.79609,0.04861234,37.038068583290446
250700,1.425,147231300000.0,0.0,0.2457861,-121.3027,7.486618,620013200.0,0.2924526,-169.0492,0.08788178,46.03786614390715
250800,1.435,367282300000.0,0.0,0.292508,-63.86989,5.265127,4292146000.0,0.3585476,-88.78802,0.1386011,61.33930992816124
250900,1.446,121338900000.0,0.0,0.1075284,114.2077,5.193017,301304900.0,0.5227279,139.5096,0.1111756,38.63976846214664
251000,1.456,916220500000.0,0.0,0.1780025,-108.6571,4.766412,27307110000.0,0.3443254,-77.09215,0.03048402,184.7442450157754
251100,1.467,130017000000.0,0.0,0.1997873,-92.99529,5.124469,467995100.0,0.4433638,-97.07301,0.08613993,37.04611306250334
251200,1.477,159587900000.0,0.0,0.1542383,-87.29593,5.606142,693469400.0,0.2837317,-75.28223,0.0641102,38.83507707791335
251300,1.487,518800000000.0,0.0,0.1182303,7.26535,6.742474,5745124000.0,0.2042151,-21.40601,0.03906217,82.79969615999784
251400,1.497,262421900000.0,0.0,0.3974811,121.6648,4.907187,1694208000.0,0.3677458,127.3677,0.06056471,46.29642882624052
251500,1.507,582103200000.0,0.0,0.1502735,-164.5013,8.448139,13886680000.0,0.5833886,-119.6692,0.04010163,121.901895478565
251600,1.517,255270100000.0,0.0,0.3771034,121.7106,7.076207,1759749000.0,0.4407528,107.9115,0.1097196,57.7908454013708
251700,1.527,341192900000.0,0.0,0.2780366,35.43829,4.673661,3515145000.0,0.4009194,99.09712,0.05260807,59.26227360072064
251800,1.537,594292200000.0,0.0,0.321732,128.6955,3.744415,12060070000.0,0.3752361,151.4996,0.06116847,91.8454300552883
251900,1.547,1111732000000.0,0.0,0.1623109,153.8357,2.742615,23305180000.0,0.3777342,109.5702,0.07852833,110.7874062441474
252000,1.558,153108700000.0,0.0,0.1206153,-32.67297,8.666957,818849000.0,0.3855725,-63.61823,0.07106964,49.9810509183971
252100,1.567,2213095000000.0,0.0,0.2836415,33.58294,2.812343,50787870000.0,0.1926189,46.2135,0.05407693,189.61991535743388
252200,1.578,244343100000.0,0.0,0.08665612,-94.09877,4.287877,1511548000.0,0.3344104,-68.21924,0.2581865,57.60606541334308
252300,1.589,177010900000.0,0.0,0.3582067,108.5824,4.171033,962414200.0,0.312018,134.5605,0.05558563,37.75042061467634
252400,1.599,25703960000000.0,0.0,0.3795617,151.0694,3.789866,116870400000.0,0.3665659,122.0547,0.1031008,222.13687600266533
252500,1.61,228034200000.0,0.0,0.2432674,-18.13358,3.178305,1175771000.0,0.2890336,-21.61778,0.06843477,37.69072785664967
252600,1.62,416869400000.0,0.0,0.1354803,-100.0551,3.089062,4810702000.0,0.251852,-141.9319,0.07357709,58.64088278829591
252700,1.63,276694200000.0,0.0,0.3931792,-130.9482,3.126942,1961330000.0,0.6480268,-176.786,0.06943394,43.53381636100702
252800,1.641,113240000000.0,0.0,0.2761528,-6.840566,7.860295,288349400.0,0.2264602,-51.5643,0.08064437,44.9159727914695
252900,1.65,5140437000000.0,0.0,0.2898474,-117.4882,6.445116,84699330000.0,0.4480111,-114.3048,0.06110334,237.42959994362235
253000,1.661,102329300000.0,0.0,0.1141606,-80.436,4.52295,376073400.0,0.4326536,-10.95315,0.08217882,34.38442295575115
253100,1.671,190107800000.0,0.0,0.3446523,-70.90797,4.89866,738569900.0,0.03312231,-123.2708,0.0789511,41.43614212908471
253200,1.681,488652400000.0,0.0,0.2311602,123.8327,5.647381,6742503000.0,0.3154671,118.9395,0.03725483,88.91255111369246
253300,1.692,110662400000.0,0.0,0.2295026,41.90934,5.015384,390227400.0,0.4630525,2.801853,0.03325625,31.3882107654126
253400,1.702,210862800000.0,0.0,0.3262206,-90.84502,3.75902,1089334000.0,0.5617053,-81.58007,0.04477051,39.5070130075533
253500,1.712,721107500000.0,0.0,0.07533101,-39.93524,6.77821,12144580000.0,0.2359883,-113.9698,0.04722254,108.24926302586658
253600,1.723,158124800000.0,0.0,0.3028314,-2.035901,6.186829,838589900.0,0.1354205,-22.53605,0.07970871,45.90026899163037
253700,1.733,161435900000.0,0.0,0.2118341,-19.23039,6.116134,683678900.0,0.2817129,-34.18647,0.07357684,44.24289646734695
253800,1.743,247742200000.0,0.0,0.4017419,-162.1316,3.98405,2012968000.0,0.2431144,-191.4257,0.08085266,47.05105365197459
253900,1.753,488652400000.0,0.0,0.04411536,-66.61941,6.210392,4484726000.0,0.1637377,-39.44293,0.08308033,69.5540753853446
254000,1.763,158124800000.0,0.0,0.1631437,-129.2327,3.973679,638119800.0,0.2129423,-123.868,0.03939356,34.42268827987817
254100,1.773,178237900000.0,0.0,0.2909157,75.14268,3.382007,554401200.0,0.2720226,58.30243,0.06648878,33.66363565855436
254200,1.783,570164300000.0,0.0,0.3333782,-44.51133,5.260886,6264743000.0,0.008108942,-52.68357,0.08365781,72.94463342219046
254300,1.794,150314200000.0,0.0,0.4249888,16.79098,3.695524,721034900.0,0.2914512,50.10669,0.1666536,44.425152326922586
254400,1.804,234422900000.0,0.0,0.4188972,50.25559,6.681476,1611783000.0,0.3945914,61.58454,0.1058406,58.52302064281998
254500,1.814,274789400000.0,0.0,0.3415479,106.2124,6.585022,1807048000.0,0.223035,115.4981,0.06797388,55.82002126649773
254600,1.824,360578600000.0,0.0,0.3148012,-140.3197,2.504051,3290566000.0,0.4709543,-123.6038,0.09568659,49.04639991881315
