,zl,m_h,m_acc,e_h,p_h,con,m_g,e_g,p_g,tb,vel_disp
0,0.022,110662400000.0,0.0,0.1507349,-9.519763,13.72977,1080892000.0,0.4210705,-27.15581,5.840332,54.11351611935491
1000,0.576,3548134000000.0,0.0,0.3829286,72.05911,6.484948,87221260000.0,0.4837437,46.38458,0.1061987,204.3720453546389
2000,0.765,516416400000.0,0.0,0.4977757,122.247,7.572108,17768070000.0,0.1646521,127.6121,0.04912861,127.851230286198
3000,0.911,148593600000.0,0.0,0.4534484,-46.85858,10.90592,548169400.0,0.4837566,-35.74009,0.1274478,52.00127681958947
4000,1.037,169824400000.0,0.0,0.184639,122.1807,6.316697,816558200.0,0.3848487,166.7035,0.1198332,42.53282987528342
5000,1.154,229086800000.0,0.0,0.202068,-29.99197,3.972965,1236293000.0,0.3704674,-16.34382,0.05697951,37.80321361734811
6000,1.264,144211500000.0,0.0,0.3566259,165.1809,7.026705,619452300.0,0.09381935,192.0172,0.1238609,46.56576945541271
7000,1.37,210862800000.0,0.0,0.1852096,-2.915689,5.302036,1323176000.0,0.3063853,5.763391,0.1009176,45.327222552049726
8000,1.473,164059000000.0,0.0,0.02291373,110.3108,5.623022,915614600.0,0.2372075,156.3429,0.1232049,46.50312215923301
9000,1.575,342767800000.0,0.0,0.1452881,-0.4417026,2.733182,1693974000.0,0.1657546,-20.57162,0.1595728,44.801140512587125
10000,1.675,2328091000000.0,0.0,0.2554748,69.60742,4.268869,44340290000.0,0.07805796,76.32272,0.03905077,208.83446786620047
11000,1.776,319889500000.0,0.0,0.3318788,-18.57653,2.792425,2245967000.0,0.08174579,-20.5526,0.04705225,48.80737512418252
12000,1.88,208449100000.0,0.0,0.2091795,-149.0077,4.049183,1022916000.0,0.5656403,-92.01053,0.05817206,40.688461054274704
13000,1.986,431519100000.0,0.0,0.3621874,112.9104,4.606467,4283923000.0,0.3465457,96.45816,0.08159655,64.19326364801833
14000,2.095,202768300000.0,0.0,0.3094107,114.6162,7.579778,982811000.0,0.1695251,148.5175,0.03597824,50.565038664360586
15000,2.209,150314200000.0,0.0,0.2348712,80.34048,3.440756,366592400.0,0.4814912,101.2562,0.06280341,34.1505963320884
16000,2.325,129717900000.0,0.0,0.3826987,-155.6881,2.899713,527482700.0,0.1772225,-154.7587,0.05305731,32.63511680831399
17000,2.448,174582200000.0,0.0,0.2215655,176.2297,8.478853,728291100.0,0.4613227,142.3775,0.08419711,64.02512659860498
18000,2.576,1510080000000.0,0.0,0.3166632,83.2104,3.664225,36819670000.0,0.6020383,107.805,0.03355774,211.09601629480815
19000,2.715,142232900000.0,0.0,0.1421939,-102.0121,3.892423,383624800.0,0.2272566,-131.2311,0.1198384,48.30031061582116
20000,2.86,162181000000.0,0.0,0.3641004,-138.6747,6.810267,636964400.0,0.219961,-125.4627,0.08201354,60.056041400688805
21000,3.021,519996000000.0,0.0,0.2260496,-132.2027,2.763142,4912331000.0,0.3233472,-97.55993,0.04399418,75.9899248862117
22000,3.205,121059800000.0,0.0,0.3096281,-142.4956,3.903131,380548000.0,0.3369965,-189.315,0.06808424,42.59248343421195
23000,3.409,1510080000000.0,0.0,0.09717602,-66.05749,3.294789,31136150000.0,0.2241183,-126.1926,0.1190212,130.8710572596921
24000,3.654,213796200000.0,0.0,0.0890634,-167.0402,7.230147,937593100.0,0.1543301,-187.9782,0.1283777,84.94650822362885
25000,3.956,1409289000000.0,0.0,0.2353771,74.46984,3.516404,27963660000.0,0.4242923,42.44837,0.1513338,131.68677932885203
26000,4.365,123879700000.0,0.0,0.2743437,129.1014,3.550322,430190200.0,0.2638829,96.17179,0.07891054,50.42396333189363
27000,0.167,456036900000.0,0.0,0.1188072,169.156,14.98772,14860840000.0,0.3231347,142.0522,0.2992412,93.07837318356056
28000,0.583,177418900000.0,0.0,0.1176485,-143.2918,5.7883,1862593000.0,0.2015796,-175.919,0.2017952,41.97826859600525
29000,0.769,111429500000.0,0.0,0.2941329,76.90502,6.401553,544478700.0,0.2274697,67.69631,0.133489,35.82565930084162
30000,0.914,164437200000.0,0.0,0.192003,166.3386,6.928714,1289330000.0,0.1252637,176.5606,0.0594728,41.50026957529765
