,NIMG,ZLENS,VELDISP,ELLIP,PHIE,GAMMA,PHIG,ZSRC,XSRC,YSRC,MAGI_IN,MAGI,IMSEP,XIMG,YIMG,MAG,DELAY,DD,DDLUM,ABMAG_I,APMAG_I,KCORR,DS,DDS,DSLUM,ABMAGI_IN,ABMAGI_IN3,ABMAGI_IN4,Min Distance,cosmodc2_index,size_bulge_true,mag_i_lsst,mag_true_i_lsst_no_host_extinction,stellar_mass_bulge,shear_1,ellipticity_2_disk_true,magnification,sersic_disk,ellipticity_true,ellipticity_2_true,size_minor_bulge_true,ellipticity_disk_true,size_minor_disk_true,size_true,ra_true,dec_true,redshift,bulge_to_total_ratio_i,size_minor_true,mag_true_i_lsst,stellar_mass,ellipticity_1_bulge_true,size_disk_true,mag_true_i,ellipticity_2_bulge_true,shear_2_treecorr,galaxy_id,sersic_bulge,mag_i,Mag_true_i_lsst_z0,ellipticity_1_true,stellar_mass_disk,ellipticity_bulge_true,ellipticity_1_disk_true,convergence,halo_mass,shear_2,shear_2_phosim,phi_disk,q_disk,phi_bulge,q_bulge,phi,q,size_true_kpc,size_true_log,size_true_kpc_log,bulge_to_total_ratio_i_log,stellar_mass_log,stellar_mass_bulge_log,stellar_mass_disk_log,halo_mass_log
1086,2,1.6,284.4461,0.0276021,139.5101,0.01567771,-91.98986,2.43,0.3017748,-0.1370039,20.57,21.28648,0.9984967,"[0.7405, -0.1569, 0.0, 0.0]","[-0.3691, 0.0687, 0.0, 0.0]","[2.5412, -0.5169, 0.0, 0.0]","[0.0, 197.545, 0.0, 0.0]",1747.52673,11813.2803,-24.2121601,22.7496929,1.60000002,1674.88,350.223,19704.8,-24.30286013608495,-24.637742506031486,-25.43674250603149,0.02462674583787581,21828.0,0.3517571,20.835894381421525,20.758047,39564665000.0,0.0055529873029585,0.3564061,1.0037816605632837,1.0,0.27814245,0.12719266,0.20755298,0.77938193,0.059049506,0.35660645,56.859696031032406,-28.07363807786969,0.6644280190782383,0.9626866,0.2014009,20.839993,40613044000.0,0.22928791,0.4762603,20.839993,0.11790164,0.0026579228469445,2625865758,4.0,20.835894381421525,-22.421713,0.24735652,1048377100.0,0.25782502,0.6931168,0.0018664985396179,59795699175481.695,0.0026579228469445,-0.0026579228469445,0.2374745886120837,0.12398578201026957,0.23747458276792546,0.5900462812644145,0.23747458141562758,0.5647708163639046,2.469159295136795,-0.4478108059333079,0.3925491088737255,-0.01651507325241382,10.60866554164121,10.59730749284206,9.020517525959937,13.776669948344159
1292,2,1.632,196.7886,0.1773132,-79.22577,0.05463586,75.54047,2.71,0.0762396,-0.2071117,21.79,22.91995,0.5850299,"[0.1226, -0.0254, 0.0, 0.0]","[-0.5059, 0.0601, 0.0, 0.0]","[1.8928, -0.3532, 0.0, 0.0]","[0.0, 67.736, 0.0, 0.0]",1747.39258,12104.9287,-23.2697601,23.77705,1.63199997,1633.8,394.145,22487.8,-23.33773488063419,-23.66201746361538,-24.547017463615383,0.01312963731888607,31722.0,0.3638224,21.313067523780397,21.353321,53794280000.0,-0.0131266641535643,-0.24841772,1.059338310710364,1.0,0.22125326,-0.109036416,0.23226161,0.5040814,0.17168382,0.36412403,56.12927287413679,-29.43167551644997,0.7885414976360059,0.99855155,0.23218803,21.375654,53870430000.0,0.19204624,0.5207033,21.375654,-0.10876793,0.0028912169029367,2626336740,4.0,21.313067523780397,-22.477203,0.1925203,76149096.0,0.22070844,0.4386191,0.0283178689423904,6022617728360.563,0.0028912169029367,-0.0028912169029367,-0.2576596385020489,0.3297152486154307,-0.2576596496929595,0.6383928499171915,-0.2576596415211095,0.6376619512946626,2.7001619133118115,-0.4387506592917286,0.4313898071032606,-0.0006295098592300623,10.731350442148551,10.730736099151452,7.881664751998496,12.779785298214197
1637,2,1.448,258.226,0.2546883,-54.37019,0.07599827,-53.23079,2.65,-0.305298,0.4045884,21.69,23.14508,1.2861,"[-0.7137, 0.0574, 0.0, 0.0]","[0.9542, -0.0751, 0.0, 0.0]","[1.6327, -0.2618, 0.0, 0.0]","[0.0, 264.7, 0.0, 0.0]",1742.79529,10444.0557,-23.8444805,22.6978664,1.44799995,1642.88,474.014,21887.3,-23.56296100324318,-23.712094872672587,-24.56809487267259,0.04045699297330562,7.0,1.1569808,17.617876543115482,17.388155,15010031000.0,-0.0001201655847995,-0.0071174377,0.998933780333232,1.0,0.037453454,-0.006764594,1.074404,0.03940704,1.9684807,1.3380458,57.762469958486655,-28.38301957182911,0.1087418855371051,0.8206051,1.2414353,17.616718,16019562000.0,-0.03639831,2.1299891,17.616718,-0.006683944,-0.000504568656826,2000004751,4.0,17.617876543115482,-21.012905,-0.0368375,1009532350.0,0.03700692,-0.03875896,-0.0005336709645713,517946884326.76056,-0.000504568656826,0.000504568656826,-1.4799913165716647,0.9241739959777094,-1.4799913116592232,0.9286274399146499,-1.4799913108164824,0.9277973332719754,2.5914028732364853,0.12647097916188493,0.41353493595852464,-0.08586578825263655,10.204650637616913,10.176381589186311,9.004120240269637,11.714285224944927
65,4,0.988,228.5599,0.5579514,37.43662,0.03363725,129.3107,1.83,0.05951058,-0.04928329,23.23,22.35119,1.068672,"[-0.2644, 0.2942, 0.5724, -0.2437]","[-0.4982, -0.4489, 0.1665, 0.2935]","[3.3528, -2.2466, 2.8654, -0.9552]","[5.082, 11.355, 0.0, 29.792]",1647.09351,6509.5498,-23.1793575,21.8763981,0.987999976,1740.0,582.957,13935.5,-21.50261280218,-21.32987973377464,-22.21187973377464,0.03590719698347868,28510.0,0.95578367,20.63055368158024,20.510424,185068000000.0,0.0035557870399167,-0.26944175,0.965133308618385,1.0,0.2333603,-0.2192799,0.59488434,0.28674313,0.6885538,0.9590806,57.2926116670657,-28.59000813718548,0.7643552651143146,0.990431,0.59615123,20.592022,187909200000.0,-0.07962039,1.2421778,20.592022,-0.21869513,0.0082066757544275,2626167007,4.0,20.63055368158024,-23.531239,-0.07983329,2841192400.0,0.23273799,-0.09809572,-0.0179421834937452,852716890025464.9,0.0082066757544275,-0.0082066757544275,-0.9599752365789601,0.5543117671690504,-0.9599752439171182,0.6224047897784519,-0.9599752492356369,0.6215861683378281,7.030524166109011,-0.018144893700715856,0.8469877053843339,-0.004175774908930843,11.273948043599313,11.267331331638646,9.453500644292824,14.930804865272748
1721,2,1.676,241.5461,0.2816037,62.19526,0.110637,-140.7295,2.7,-0.008840534,-0.08544966,21.71,21.19726,0.7190569,"[-0.2697, -0.1413, 0.0, 0.0]","[-0.4622, 0.2453, 0.0, 0.0]","[2.4058, -1.6036, 0.0, 0.0]","[0.0, 49.108, 0.0, 0.0]",1746.73218,12508.3076,-23.8403206,23.3216724,1.676,1635.38,372.064,22388.4,-23.36411528790406,-23.733863132820314,-24.614863132820314,0.05205571095154384,57294.0,2.2291536,14.96501762105149,14.972103,87618220000.0,4.3113844689246505e-05,-0.22615296,0.9999136453587584,1.0,0.105580956,-0.097086936,1.8044963,0.24593881,1.9635994,2.231333,57.64294453392689,-29.93198205251217,0.0548377994468936,0.99787706,1.8051567,14.964924,87768465000.0,0.041371755,3.2444644,14.964924,-0.09680897,0.0001109808231893,3375000788,4.0,14.96501762105149,-22.139313,0.041490544,150255660.0,0.10527867,0.09664749,-4.318720471085946e-05,47350584830557.75,0.0001109808231893,-0.0001109808231893,-0.5834665350051422,0.6052152663688587,-0.5834665177477721,0.8094984103222475,-0.5834665222691026,0.8090036628927124,2.3162462898790834,0.34856438842391924,0.3647847366825582,-0.0009229611700124331,10.943338502961135,10.942594426061627,8.176830840478235,13.675325347375523
1765,2,0.638,190.1078,0.4412163,169.0901,0.03306893,175.592,2.7,0.4299835,0.202476,21.65,22.71521,1.345676,"[1.1573, -0.1344, 0.0, 0.0]","[0.2604, -0.1169, 0.0, 0.0]","[1.7573, -0.3749, 0.0, 0.0]","[0.0, 68.814, 0.0, 0.0]",1417.67444,3803.68286,-22.4336605,21.1053619,0.638000011,1635.38,1007.77,22388.4,-24.46211527690406,-23.79386313282032,-24.67486313282032,0.06984833457187084,43018.0,0.7192478,21.731669891853294,21.759914,35707740000.0,-0.0003623639418342,0.24341516,1.0263554730485418,1.0,0.4397496,0.15380515,0.27988645,0.69595665,0.262433,0.71926975,56.128152825161386,-28.81895904557217,0.9085380034223132,0.9999246,0.27988976,21.759914,35707770000.0,-0.4119683,1.4638537,21.759914,0.15380251,0.0072332146488976,2626743149,4.0,21.731669891853294,-22.117079,-0.41197535,30753.93,0.43974206,-0.65200055,0.0128962810792156,1051505366895.7748,0.0072332146488976,-0.0072332146488976,1.392140894035825,0.1792754261455708,1.3921409080013327,0.3891377039711098,1.3921408994981843,0.38913044052413626,5.589967412470816,-0.143108204240199,0.7474092761108677,-3.274703851434941e-05,10.552762728744018,10.552762363869931,4.487900621518133,12.021811493672146
1369,2,0.344,150.6607,0.4800469,98.76756,0.05102593,137.7111,0.68,-0.06100921,-0.1397392,20.15,20.48384,0.5691035,"[-0.0421, 0.1003, 0.0, 0.0]","[-0.4575, 0.0935, 0.0, 0.0]","[1.9767, -0.7353, 0.0, 0.0]","[0.0, 8.014, 0.0, 0.0]",1007.44202,1819.77881,-21.6031189,20.0409737,0.344000012,1456.65,650.693,4111.25,-22.57586942045356,-22.042232830296232,-22.41223283029624,0.06112593040887589,43018.0,0.7192478,21.731669891853294,21.759914,35707740000.0,-0.0003623639418342,0.24341516,1.0263554730485418,1.0,0.4397496,0.15380515,0.27988645,0.69595665,0.262433,0.71926975,56.128152825161386,-28.81895904557217,0.9085380034223132,0.9999246,0.27988976,21.759914,35707770000.0,-0.4119683,1.4638537,21.759914,0.15380251,0.0072332146488976,2626743149,4.0,21.731669891853294,-22.117079,-0.41197535,30753.93,0.43974206,-0.65200055,0.0128962810792156,1051505366895.7748,0.0072332146488976,-0.0072332146488976,1.392140894035825,0.1792754261455708,1.3921409080013327,0.3891377039711098,1.3921408994981843,0.38913044052413626,5.589967412470816,-0.143108204240199,0.7474092761108677,-3.274703851434941e-05,10.552762728744018,10.552762363869931,4.487900621518133,12.021811493672146
235,2,1.41,223.8721,0.2236547,-91.08123,0.07441303,-37.45946,2.61,0.1529448,0.1505621,22.43,22.70941,0.810049,"[-0.1654, 0.3564, 0.0, 0.0]","[-0.1245, 0.4951, 0.0, 0.0]","[-0.7731, 3.7723, 0.0, 0.0]","[69.009, 0.0, 0.0, 0.0]",1740.08057,10106.5605,-23.4414997,22.991518,1.40999997,1648.89,487.226,21488.5,-22.82103053359514,-22.93814650121307,-23.76914650121307,0.016155726966656285,82215.0,0.6438584,21.133314385680475,20.448744,75687444000.0,-0.0098668823018764,0.2295218,1.0394135677053165,1.0,0.13573949,0.10458571,0.49704817,0.2978913,0.39872754,0.64774925,57.545482629914495,-28.468110196490382,1.0148869148002206,0.96006066,0.49291596,21.175285,77994930000.0,-0.08202666,0.73707247,21.175285,0.099145345,0.0169109361320788,2002503818,4.0,21.133314385680475,-22.959024,-0.086527675,2307476700.0,0.12867856,-0.18989198,0.0189473550374029,1533005281712.676,0.0169109361320788,-0.0169109361320788,1.1309927982854588,0.5409611075965777,1.1309928084773397,0.7719836868266735,1.130992800315961,0.7609672083745591,5.188293052317348,-0.18859308119207963,0.7150244985242085,-0.017701325844814937,10.89206637263167,10.879023839159299,9.36313732438375,12.185543651145776
1003,2,0.68,217.771,0.2761277,85.93242,0.04704058,172.6988,1.69,0.3745892,-0.1840986,20.87,21.71381,1.323364,"[0.9563, -0.2139, 0.0, 0.0]","[-0.5362, 0.0818, 0.0, 0.0]","[2.8134, -0.4597, 0.0, 0.0]","[0.0, 77.432, 0.0, 0.0]",1456.64648,4111.23926,-22.8215199,20.9283428,0.680000007,1746.35,836.618,12636.8,-23.95818555328225,-23.50499521027924,-24.37499521027924,0.017929379874107986,31720.0,0.44652814,20.88832602244557,20.70997,144068850000.0,-0.0119311202620916,-0.41482738,1.032030953858992,1.0,0.07645297,-0.074597605,0.39119583,0.4251448,0.18903656,0.44716895,56.12287592247425,-29.43482694331294,0.7874715277286535,0.9417043,0.38365033,20.922558,145152670000.0,-0.014463019,0.46864754,20.922558,-0.064447835,0.0103697943880921,2626336738,4.0,20.88832602244557,-23.41645,-0.016740773,1083820200.0,0.06605076,-0.09309321,0.0155138044651265,6022617728360.563,0.0103697943880921,-0.0103697943880921,-0.8957766267336125,0.40336617025519633,-0.8957766345851446,0.8760832811511666,-0.8957766343481994,0.8579539110791211,3.3143450210661016,-0.34952836011229665,0.5203977161972944,-0.026085446504996637,11.161825028838734,11.158570089519603,9.034957241035832,12.779785298214197
696,2,0.516,254.683,0.1756314,125.1853,0.06000437,16.76359,2.14,0.1286261,0.1924675,18.01,16.82957,2.405127,"[-0.5307, 1.0254, 0.0, 0.0]","[-0.8055, 1.0284, 0.0, 0.0]","[-2.966, 9.0987, 0.0, 0.0]","[46.352, 0.0, 0.0, 0.0]",1280.11353,2942.02856,-23.1092377,19.7499981,0.515999973,1711.93,1093.89,16878.9,-27.610720727933835,-26.90955864084232,-27.73155864084232,0.07416989990575001,9475.0,0.79961836,18.529015886360785,18.424162,83876954000.0,0.0009418885715716,-0.20357373,0.9967908991436636,1.0,0.37569633,-0.107504286,0.36461088,0.7114312,0.17814632,0.8011802,57.33417299349992,-28.472139719188363,0.3152202855235668,0.993283,0.363583,18.525526,83972970000.0,-0.35802054,1.0565424,18.525526,-0.10691707,-0.0011449132905464,2625109921,4.0,18.529015886360785,-22.793818,-0.3599869,96024410.0,0.37364417,-0.6816833,-0.0016095198828423,3003583738952.113,-0.0011449132905464,0.0011449132905464,-1.425694824687389,0.16861254669988132,-1.4256948164873253,0.45598113503479176,-1.4256948238259644,0.4538092035668146,3.622665104214316,-0.09626979220047469,0.5590281877153938,-0.002926997397867388,10.92413951381225,10.923642650631987,7.98238164742241,12.477639744443142
